ID,POSTAL,X-COORDINATES,Y-COORDINATES
1,018965,30095.0362,29199.5705
2,018980,30411.5428,29120.0497
3,018985,30152.3828,29246.505
4,018987,30152.3828,29246.505
5,058359,29186.5408,29799.447
6,058416,29680.4739,30154.9385
7,058469,29208.7627,29467.5644
8,058603,29132.562,29540.13
9,058727,29460.2085,29711.5173
10,058959,29132.7512,29476.2998
11,059108,29031.2548,29617.9408
12,059214,29196.0965,29532.284
13,059521,29265.2279,29604.9224
14,059523,29265.2279,29604.9224
15,059608,29194.2541,30099.7028
16,059765,29109.2681,30063.5819
17,059812,28839.4015,29364.4561
18,068803,29918.0101,29083.4584
19,068979,29402.7367,29449.2266
20,069047,29559.3112,29095.0919
21,069249,29513.3451,29438.285
22,069250,29515.5383,29433.9854
23,069251,29517.7823,29429.637
24,069252,29519.9699,29425.4342
25,069253,29521.8705,29406.1605
26,069401,29546.471,29455.0838
27,069403,29539.8773,29448.9518
28,069404,29536.2795,29444.806
29,069410,29478.8248,29431.7765
30,069415,29463.9317,29332.6599
31,069469,29422.4183,29443.4656
32,078878,29244.0023,28627.3431
33,079119,29361.6132,28440.0998
34,079624,29414.1346,28526.9924
35,079717,29224.3669,28576.4451
36,079718,29271.2909,28569.1784
37,079903,29406.343,28703.2721
38,088271,28921.214,28663.9497
39,088642,28472.0209,28674.3666
40,088660,28391.041,28638.5255
41,088764,28783.5054,29166.4261
42,088872,28494.5333,28844.4742
43,088888,28419.238,28841.3973
44,088937,29028.3509,28454.6615
45,089110,28922.3352,29082.0538
46,089114,28924.3776,29101.1021
47,089116,28921.14,29111.2816
48,089310,29046.4775,28493.6422
49,089311,29039.994,28493.3783
50,089312,29033.5105,28490.4174
51,089313,29027.4971,28491.5228
52,089314,29021.0004,28490.0961
53,089362,28524.9181,28822.213
54,089366,28531.2112,28799.3289
55,089370,28493.5361,28801.4301
56,089373,28471.4081,28800.258
57,089375,28454.4717,28796.1086
58,089381,28461.745,28765.8262
59,089382,28480.9191,28767.7024
60,089388,28514.581,28772.4963
61,089393,28543.6743,28777.2266
62,089394,28539.9579,28713.8783
63,089673,28981.0774,29012.4224
64,089689,28980.7238,28913.68
65,089692,29009.3795,28943.7001
66,089775,28797.12,28705.2785
67,089905,28380.9925,28743.7548
68,089908,28353.4621,28793.2326
69,089910,28349.6314,28789.5741
70,089916,28337.6277,28778.5311
71,089919,28348.0091,28732.2847
72,089938,28293.4836,28739.2984
73,098182,27734.87,24744.8914
74,098183,27760.8097,24673.7906
75,098202,28754.7587,24880.5454
76,098203,28729.5536,24921.0711
77,098204,28697.4903,24943.6638
78,098205,28675.4449,24894.0932
79,098206,28663.0935,24856.3156
80,098207,28644.6174,24825.1136
81,098208,28656.7841,24787.0544
82,098209,28703.5874,24823.1243
83,098221,27784.604,24730.3451
84,098308,28469.2603,24670.8871
85,098309,28525.5842,24730.3604
86,098327,28650.6285,25067.3016
87,098328,28664.7829,25045.2465
88,098329,28722.7037,25203.0309
89,098367,28914.2071,25748.0232
90,098368,28915.9628,25753.5179
91,098369,29033.6758,25598.524
92,098370,28991.9267,25637.1632
93,098371,28991.9267,25637.1632
94,098372,29055.7152,25478.0561
95,098373,29084.6357,25458.6588
96,098393,28421.5386,25066.1652
97,098395,28382.3735,25008.5608
98,098402,25892.2693,27852.4581
99,098403,25862.5534,27804.6217
100,098404,25813.4186,27771.211
101,098405,25772.2181,27704.1638
102,098406,25711.0765,27721.134
103,098407,25671.0894,27686.423
104,098408,25622.1259,27741.7077
105,098410,25535.8365,27709.0015
106,098411,25494.2172,27641.9423
107,098412,25426.4975,27616.9526
108,098413,25440.0625,27566.2466
109,098414,25386.8995,27697.0594
110,098415,25386.2641,27671.4807
111,098416,25475.7016,27701.3251
112,098417,25459.6566,27672.7056
113,098418,25515.5862,27751.5485
114,098419,25516.3666,27739.9873
115,098449,29233.521,25488.8762
116,098450,29138.2095,25323.2471
117,098451,29138.2095,25323.2471
118,098527,29023.0695,25152.5137
119,098528,29023.0696,25152.5138
120,098529,29023.0696,25152.5138
121,098530,28962.2621,25096.052
122,098531,28962.2621,25096.052
123,098532,28962.2621,25096.052
124,098533,28971.855,25181.5241
125,098534,28985.8072,25237.7367
126,098535,29023.8909,25225.2932
127,098584,29636.7292,26010.4614
128,098616,29446.8922,25849.538
129,098617,29446.8922,25849.538
130,098618,29446.8922,25849.538
131,098619,29446.8922,25849.538
132,098620,29446.8922,25849.538
133,098621,29446.8922,25849.538
134,098622,29446.8922,25849.538
135,098623,29446.8922,25849.538
136,098624,29411.2093,25773.3716
137,098625,29411.2093,25773.3716
138,098626,29409.1781,25773.6416
139,098627,29446.3171,25754.3896
140,098628,29446.3171,25754.3896
141,098629,29446.3171,25754.3896
142,098630,29446.5675,25758.0986
143,098635,25958.1773,27817.8087
144,098637,26059.3072,27729.7474
145,098638,26089.5952,27747.2968
146,098639,26123.7375,27739.1917
147,098640,26143.4712,27710.7226
148,098641,26137.935,27676.3744
149,098642,26111.3145,27653.8018
150,098643,26078.2501,27634.5816
151,098644,26070.0084,27601.616
152,098645,26036.9376,27590.9945
153,098646,26028.4062,27558.1915
154,098647,25994.7934,27547.4559
155,098648,25970.1367,27516.0119
156,098649,25951.923,27485.8026
157,098650,26028.636,27650.1844
158,098651,25979.6174,27631.1759
159,098652,25945.2186,27568.8951
160,098653,25891.6269,27555.0499
161,098654,25840.2593,27618.7276
162,098655,25833.6019,27676.7181
163,098656,25924.965,27703.3197
164,098657,25917.2871,27763.8623
165,098748,25846.3535,28094.406
166,098749,25808.6215,28118.0153
167,098751,25829.4613,28144.3939
168,098752,25858.3245,28125.3774
169,098829,26894.8837,27632.9732
170,098830,26823.2023,27633.9275
171,098843,25791.1864,28049.0315
172,098844,25786.977,28053.3027
173,098845,25782.0419,28056.4354
174,098846,25777.1431,28059.5451
175,098847,25772.1224,28062.7345
176,098849,25757.0608,28071.4874
177,098851,25746.5497,28078.3468
178,098865,26839.6575,27675.3052
179,099106,26479.1374,27971.8975
180,099108,26479.1374,27971.8975
181,099110,26551.4234,27957.9264
182,099112,26551.4234,27957.9264
183,099169,25768.1654,28237.2475
184,099170,25902.6848,28390.8096
185,099196,26990.4973,28154.8119
186,099197,27016.0959,28152.9944
187,099200,27033.6438,27934.0732
188,099206,26978.8963,28154.2663
189,099208,27030.4787,28097.2982
190,099209,27042.0304,28096.2032
191,099228,25949.0252,28032.4018
192,099281,26787.7144,27742.9841
193,099282,26787.7144,27742.9841
194,099308,26945.9407,28808.4608
195,099309,27024.1284,28776.767
196,099310,26965.6609,28719.4974
197,099454,27350.0991,28303.6767
198,109024,25295.1362,28208.2626
199,109025,25161.9272,28329.5701
200,109026,25118.2871,28331.857
201,109030,25141.5943,28240.9825
202,109258,25236.5445,28273.8275
203,109684,24628.4343,29404.8511
204,109685,24628.4343,29404.8511
205,109686,24628.4343,29404.8511
206,109687,24628.4343,29404.8511
207,109688,24628.4343,29404.8511
208,109689,24628.4343,29404.8511
209,109690,24628.4343,29404.8511
210,109691,24628.4343,29404.8511
211,109692,24628.4343,29404.8511
212,109693,24628.4343,29404.8511
213,109694,24699.4704,29406.6573
214,109695,24699.4704,29406.6573
215,109696,24699.4704,29406.6573
216,109697,24699.4704,29406.6573
217,109698,24699.4704,29406.6573
218,109699,24699.4704,29406.6573
219,109700,24699.4704,29406.6573
220,109701,24699.4704,29406.6573
221,109702,24699.4704,29406.6573
222,109703,24699.4704,29406.6573
223,109704,24699.4704,29406.6573
224,109705,24699.4704,29406.6573
225,109707,24628.4343,29404.8511
226,109919,25293.3067,27658.4877
227,117422,22453.1877,29293.7987
228,117423,22433.3212,29314.7696
229,117425,22419.68,29337.7968
230,117452,22450.4317,29409.9343
231,117482,21881.7144,30027.8266
232,117484,21574.8969,30170.3142
