ID,POSTAL,X-COORDINATES,Y-COORDINATES
1,050004,29067.2418,29360.5223
2,050005,29126.1334,29293.818
3,050032,29032.9361,29698.3572
4,050034,28999.9288,29850.8763
5,050532,29409.7631,29625.12
6,050533,29342.3228,29666.2774
7,050535,29436.1048,29668.9606
8,050536,29368.8522,29710.1805
9,050538,29385.3127,29737.7574
10,051335,29060.2821,29395.4291
11,052335,29127.3417,29422.8728
12,080003,28599.3541,28853.7209
13,080004,28753.1186,28816.7641
14,080005,28683.3921,28794.7888
15,080006,28608.8293,28793.6246
16,080007,28596.7358,28821.3273
17,080008,29067.9017,28860.0853
18,080009,28655.3652,28641.9149
19,080011,28707.0317,28545.0788
20,080012,28751.4082,28550.62
21,080013,28797.6078,28575.3094
22,080016,28772.6293,28489.1147
23,080017,28726.2566,28479.7867
24,080018,28678.7397,28487.071
25,080019,28632.668,28485.0911
26,080101,28303.519,28635.237
27,080102,28324.6292,28578.6578
28,080103,28218.2712,28571.0544
29,080104,28173.6386,28545.2438
30,080105,28129.5015,28475.9365
31,080106,28082.3091,28450.06
32,080107,28177.9879,28453.1805
33,080109,28371.0666,28501.4924
34,080333,29017.7443,29244.1658
35,080334,29003.557,29339.0473
36,081001,28743.721,28876.8581
37,081002,28669.1173,28875.7257
38,081003,29014.1744,28677.0108
39,081004,29048.6676,28708.637
40,081005,29078.0944,28745.4452
41,081007,29094.596,28824.6581
42,081008,28635.9296,28697.1152
43,081110,28345.2011,28457.9658
44,082001,29042.4355,28671.779
45,082002,29033.5426,28634.732
46,085101,28851.0882,28922.8761
47,085201,28899.7792,28918.0879
48,085301,28929.0769,28879.3522
49,085401,28908.945,28820.8736
50,085501,28872.409,28787.9708
51,085601,28876.2228,28717.6807
52,085701,28885.4429,28667.402
53,089054,29003.8366,28213.685
54,090001,26283.7653,29101.3356
55,090003,26242.4802,29014.1196
56,090004,26344.4773,29024.2999
57,090005,26430.9844,29020.3308
58,090006,26348.0649,28956.8228
59,090007,26449.1944,28980.2301
60,090008,26444.4411,28917.6467
61,090010,26492.0883,28910.5853
62,090012,26463.9032,28850.2036
63,090013,26570.6477,28957.9034
64,090014,26570.0171,28873.4218
65,090015,26577.9689,28828.4943
66,090016,26685.2005,28946.2027
67,090017,26707.2144,28914.6015
68,090018,26799.9684,28930.3013
69,090019,26813.0086,28880.8675
70,090020,26720.1576,28820.4011
71,090021,26617.7023,28786.3442
72,090022,26497.9288,28780.9566
73,090023,26611.1798,28728.0468
74,090024,26591.2605,28653.8254
75,090025,26428.0858,28756.3742
76,090026,26391.6108,28795.7776
77,090027,26681.8012,28549.7929
78,090028,26614.2295,28492.179
79,090029,26641.6586,28463.9123
80,090030,26545.3351,28385.775
81,090031,26610.4227,28320.7559
82,090032,26702.8098,28401.8871
83,090033,26794.9153,28513.8213
84,090034,26793.8609,28444.6512
85,090035,26754.0467,28389.8305
86,090037,26837.7844,28351.1892
87,090038,26763.7368,28313.5987
88,090039,26796.9029,28248.8724
89,090040,26878.9013,28287.7966
90,090041,26850.7437,28218.4315
91,090042,26816.6078,28157.257
92,090043,26877.8833,28097.6351
93,090101,27150.2798,28217.3927
94,090102,27260.2487,28266.693
95,090103,27129.3648,28286.283
96,090104,27143.8205,28320.8875
97,090105,27041.1554,28330.2289
98,090106,27143.9679,28386.2189
99,090107,27019.515,28398.6351
100,090108,27110.7237,28428.7639
101,090109,27108.7926,28490.1625
102,090110,27303.2131,28476.3133
103,090111,27323.4585,28541.8868
104,090112,27171.9347,28549.9153
105,090113,27289.2549,28583.1262
106,090114,27172.945,28616.4851
107,090115,27291.2475,28647.4673
108,091014,26598.9988,28913.7658
109,091017,26696.2587,28872.0019
110,100044,25503.5969,28211.4609
111,100045,25355.9029,28249.9685
112,100046,25388.38,28242.6194
113,100047,25415.6132,28281.725
114,100048,25466.5396,28315.1654
115,100049,25522.8861,28299.1445
116,100050,25420.8016,28397.4016
117,100051,25420.9997,28444.1714
118,100052,25543.612,28481.3856
119,100053,25564.1341,28530.9347
120,100054,25620.9688,28453.4366
121,100055,25644.0502,28493.5943
122,100056,25675.1644,28525.924
123,100057,25692.6944,28568.0058
124,100058,25784.1169,28600.0289
125,100059,25804.1761,28647.6318
126,100060,25644.9077,28727.8589
127,100061,25628.1993,28686.5086
128,100062,25527.989,28635.6918
129,100063,25509.5927,28589.8981
130,100064,25464.4227,28553.9734
131,100065,25452.0217,28504.8684
132,100066,25363.9419,28512.6834
133,100067,25363.9593,28568.3706
134,100068,25420.2366,28626.1531
135,100069,25439.7743,28673.0665
136,100072,25359.1932,28732.1749
137,100073,25314.6116,28690.2081
138,100074,25269.537,28648.7198
139,100075,25259.7283,28597.631
140,100076,25264.7945,28540.4016
141,100077,25273.2163,28491.5157
142,100084,25399.108,28813.4646
143,100085,25262.4237,28854.3125
144,100086,25240.6993,28802.7766
145,100087,25198.7795,28815.0926
146,100088,25210.6153,28870.529
147,100113,25102.8837,29318.4325
148,100114,25055.6253,29355.9631
149,101080,25024.1395,28462.7917
150,101103,25778.041,29239.0463
151,101104,25662.7772,29211.8057
152,101106,25512.5477,29229.2818
153,101109,25342.5256,29267.3281
154,101111,25258.8055,29285.5715
155,101112,25198.7316,29324.679
156,102080,25049.837,28440.1347
157,102103,25753.8072,29242.9108
158,102104,25638.6347,29215.7674
159,102106,25488.4022,29233.2467
160,102109,25318.6119,29271.9347
161,102111,25234.7515,29290.2611
162,102112,25152.3845,29334.8941
163,103080,25096.4741,28442.0711
164,120101,20834.5698,33815.5351
165,120102,20864.4486,33837.2297
166,120103,20861.5917,33870.7312
167,120104,20863.0335,33910.6639
168,120105,20940.8192,33884.3567
169,120109,21039.6443,33803.5114
170,120110,21053.297,33899.0922
171,120111,21078.5974,33940.1121
172,120112,20936.9685,33949.535
173,120113,20968.0041,33991.8593
174,120114,21023.3335,34017.4522
175,120115,21101.1515,33976.4995
176,120116,21167.5135,34039.2388
177,120117,21085.1073,34077.7257
178,120118,21163.7444,34128.3011
179,120201,20202.449,33600.4644
180,120202,20142.4835,33661.0804
181,120203,20098.2104,33669.808
182,120204,20200.0209,33693.535
183,120205,20111.3295,33701.7284
184,120206,20088.3948,33750.5143
185,120301,20387.0426,33825.1812
186,120302,20386.8282,33776.7651
187,120303,20376.3326,33731.5225
188,120304,20381.148,33686.3078
189,120305,20509.6694,33812.4168
190,120306,20497.1201,33743.548
191,120307,20631.138,33741.0715
192,120308,20609.4306,33700.8176
193,120309,20550.1295,33686.2193
194,120310,20501.9724,33614.3852
195,120315,20443.4911,33415.3746
196,120316,20344.0669,33415.3475
197,120317,20343.2927,33367.5693
198,120318,20442.8103,33367.5061
199,120319,20373.1032,33294.8357
200,120320,20431.3836,33241.8804
201,120321,20544.9422,33203.0599
202,120322,20544.6319,33159.1277
203,120323,20629.4138,33123.3416
204,120324,20514.3443,33047.2941
205,120325,20601.5874,33078.8193
206,120326,20547.9656,32968.6989
207,120327,20570.296,32918.6988
208,120328,20629.2815,32920.132
209,120329,20657.1343,32817.9121
210,120330,20706.5837,32893.0297
211,120331,20724.2357,32936.2999
212,120332,20673.6382,33002.9161
213,120333,20673.6866,33049.5772
214,120334,20778.8265,33052.0896
215,120335,20787.0568,33252.1288
216,120336,20867.6897,33217.331
217,120337,20854.5031,33148.3597
218,120338,20901.1801,33174.3127
219,120339,20857.4974,33547.3994
220,120340,20961.1911,33443.9323
221,120341,20848.3951,33487.2558
222,120342,20936.1751,33403.5134
223,120343,21057.2538,33353.2331
224,120344,20851.8072,33376.7039
225,120345,20850.5073,33330.4916
226,120346,20959.397,33254.6056
227,120347,21041.0479,33272.6187
228,120348,21053.0938,33228.1329
229,120349,21070.5987,33137.6241
230,120350,20974.5855,33100.1986
231,120351,21049.1145,33070.3323
232,120352,21104.6993,32951.1963
233,120354,21049.0773,32867.2939
234,120355,20904.7797,32970.9544
235,120356,20934.4802,32916.5919
236,120357,20864.5201,32930.2082
237,120358,20851.3414,32875.2477
238,120359,20937.0848,32864.9814
239,120362,20942.3993,32779.1755
240,120363,20832.7156,32790.652
241,120364,20814.3832,32744.8443
242,120365,20946.9918,32733.0503
243,120366,21139.8089,32760.6611
244,120367,21136.7244,32803.9111
245,120371,20754.2652,33648.0482
246,120372,20707.0382,33561.159
247,120373,20656.9942,33528.135
248,120374,20617.5721,33487.8872
249,120375,20586.1857,33417.8721
250,120376,20585.1781,33374.4248
251,120377,20727.9173,33315.1445
252,120378,20665.7928,33298.3445
253,120379,20711.5763,33360.2684
254,120380,20683.0505,33401.4274
255,120381,20733.8348,33424.7638
256,120410,20918.9628,32638.1161
257,120411,20905.6758,32575.97
258,120412,21027.1729,32579.222
259,120413,21075.3681,32627.7261
260,120414,21134.0932,32653.5736
261,120415,21129.6408,32587.9999
262,120416,21104.1112,32515.8919
263,120417,21053.6043,32503.7016
264,120418,20953.5981,32498.1812
265,120419,20907.5858,32502.8965
266,120420,20855.7288,32483.7836
267,120421,20770.2624,32379.0158
268,120422,20879.372,32391.3975
269,120423,20944.2007,32418.6121
270,120424,21008.9749,32427.8998
271,120425,21078.2294,32437.4508
272,120426,20309.0108,32653.5215
273,120427,20263.5743,32696.6733
274,120428,20204.1286,32756.5343
275,120429,20158.7385,32800.7874
276,120430,20124.4699,32842.8712
277,120431,20122.4855,32896.1262
278,120432,20145.3442,32923.3477
279,120433,20043.7118,32922.8699
280,120434,20019.812,32983.9818
281,120435,20121.9362,32983.2279
282,120442,20343.2197,32934.617
283,120443,20276.0116,32939.196
284,120446,20388.5979,32756.3219
285,120449,20393.9194,32839.4876
286,120450,20449.8021,32870.0736
287,120454,20555.9767,32729.6881
288,120455,20583.0376,32713.0916
289,120456,20617.7313,32691.9558
290,120457,20647.2137,32677.7449
291,120458,20604.5761,32652.3557
292,120459,20629.7382,32632.3941
293,120460,20612.1509,32606.0777
294,120461,20552.5418,32600.3005
295,120462,20497.658,32600.2583
296,120501,19713.9562,32622.0531
297,120505,19838.2815,32730.9522
298,120506,19936.8688,32757.0924
299,120507,19929.6048,32708.7403
300,120508,20036.3729,32662.3009
301,120509,19953.5763,32606.7981
302,120510,19930.0281,32569.7271
303,120511,19886.1339,32514.1825
304,120512,19863.7306,32474.2473
305,120513,19869.0626,32331.2761
306,120514,19754.9586,32365.1686
307,120515,19816.296,32299.9542
308,120516,19889.9105,32276.1649
309,120518,19722.7089,32281.696
310,120519,19769.6426,32220.4911
311,120520,19798.9639,32163.3946
312,120601,20425.008,31900.9681
313,120602,20541.5548,31939.6152
314,120603,20655.9977,31902.5143
315,120604,20674.2506,31973.1847
316,120605,20732.899,31968.4425
317,120606,20729.5649,31909.6869
318,120607,20714.3238,31841.3954
319,120608,20567.0186,31853.0289
320,120609,20454.8758,31825.5345
321,120610,20816.7361,31875.7945
322,120611,20895.0031,31781.8432
323,120612,20801.1242,31753.6266
324,120613,20712.6298,31786.2797
325,120701,19993.029,32214.5715
326,120702,19963.7052,32176.0831
327,120703,19935.7542,32109.0646
328,120704,19900.3081,32074.7867
329,120705,19912.6901,32001.2021
330,120706,20102.5677,32120.927
331,120707,20107.3578,32068.5381
332,120708,20081.434,32005.8075
333,120709,20063.6094,31961.9755
334,120710,20009.7286,32065.5287
335,120711,19963.5193,31904.8001
336,120712,20047.7835,31922.8295
337,120713,20085.7189,31828.6836
338,120714,20027.6384,31849.0072
339,120715,20056.6852,31722.5967
340,120716,20152.45,31639.4568
341,120717,20114.6487,31730.6578
342,120721,20343.3978,31666.3093
343,120722,20258.53,31695.0366
344,120723,20220.1202,31715.2929
345,120724,20214.0704,31772.0837
346,120725,20260.3231,31760.7182
347,120727,20265.1928,31884.1506
348,120728,20241.2581,31993.6464
349,120729,20232.2546,31918.0425
350,120730,20188.0052,31900.5204
351,120731,20146.6691,31859.4793
352,121311,20451.5874,33486.8281
353,121441,20374.2818,32991.7379
354,122311,20469.0888,33523.331
355,122441,20303.1888,32984.783
356,123311,20460.6358,33596.2116
357,130001,22430.2319,31652.7174
358,130002,22388.9594,31716.5755
359,130003,22324.3559,31793.426
360,130004,22430.4991,31749.7729
361,130005,22359.6255,31821.9183
362,130012,22712.4521,31924.9535
363,130013,22742.7269,31966.7623
364,130014,22688.8305,31988.1816
365,130017,22387.9034,32219.3693
366,130018,22406.376,32266.7943
367,130019,22470.7748,32239.4185
368,130020,22458.3332,32116.316
369,130021,22581.7762,32150.9736
370,130022,22465.0458,32154.7041
371,130023,22470.0644,32195.2543
372,130026,22240.4886,32026.8988
373,130027,22213.0846,31972.5968
374,130030,22562.0391,31291.5662
375,130031,22485.6729,31420.8222
376,130032,22472.5561,31374.7943
377,130034,22434.0969,31331.6529
378,130035,22456.6545,31276.9232
379,130037,22359.5663,31326.8523
380,130038,22307.909,31253.5806
381,130039,22349.6816,31198.9233
382,131028,22309.6424,31916.5526
383,132028,22274.1377,31974.9386
384,133028,22327.2159,32002.0599
385,134028,22341.2923,32045.6144
386,139525,24058.6966,30350.2637
387,139531,23878.0123,30279.9175
388,140007,23709.4125,32086.8704
389,140019,24313.777,30530.6589
390,140020,24284.794,30571.2782
391,140021,24282.8106,30629.6263
392,140022,24249.9325,30661.5252
393,140023,24261.4325,30742.655
394,140024,24251.5164,31116.0828
395,140025,24258.1643,31140.3609
396,140028,24280.5733,31211.859
397,140030,24243.1884,31274.0954
398,140037,24071.262,31126.6153
399,140038,24149.8009,31097.3988
400,140041,24507.8111,31222.6066
401,140042,24547.9065,31188.5938
402,140045,24629.5955,31083.9858
403,140046,24467.5524,31200.9943
404,140047,24517.1465,31174.2105
405,140048,25158.8052,30687.6516
406,140049,25205.9455,30711.8714
407,140050,25263.2667,30692.3761
408,140051,25271.2688,30638.5511
409,140052,24681.3026,30990.9507
410,140055,25330.3594,30641.2468
411,140056,25388.9261,30638.7908
412,140057,23914.4333,31134.3466
413,140058,23968.0959,31126.3266
414,140059,23968.1585,31153.0363
415,140060,23968.0946,31179.6788
416,140061,23914.3067,31188.1949
417,140062,23968.2169,31206.3234
418,140063,23968.2155,31242.5623
