Industrial ID,Industrial Bldg Name,Industrial Bldg Address,POSTAL,X-COORDINATES,Y-COORDINATES
1,Oxley BizHub,61 Ubi Road 1 408727,408727,34399.0684,34892.8182
2,Vertex,33 Ubi Avenue 3 408868,408868,34765.1983,35014.1948
3,Harvest @ Woodlands,280 Woodlands Industrial Park E5 757322,757322,23301.2097,48105.713
4,Premier @ Kaki Bukit,8 Kaki Bukit Avenue 4 415875,415875,36151.7589,35632.4673
5,T-Space,1 Tampines North Drive 1 528559,528559,39192.8367,39326.9559
6,Midview City,18 Sin Ming Lane 573960,573960,28076.3515,37951.4468
7,Synergy @ KB,25 Kaki Bukit Road 4 417800,417800,36622.7742,35760.3149
8,Link @ AMK,3 Ang Mo Kio Street 62 569139,569139,29276.4566,40932.1191
9,Pioneer Centre,1 Soon Lee Street 627605,627605,12889.0206,34992.5309
10,Tradehub 21,18 Boon Lay Way 609966,609966,19029.6659,34532.3371
11,Wcega Plaza,1 Bukit Batok Crescent 658064,658064,19733.4496,35691.1033
12,Loyang Enterprise Building,56 Loyang Way 508775,508775,43955.1162,40264.8739
13,E9 Premium,61 Woodlands Industrial Park E9 757047,757047,24175.8146,47874.6798
14,Enterprise Hub,48 Toh Guan Road East 608586,608586,19212.9887,35439.3053
15,Pioneer Point,5 Soon Lee Street 627607,627607,13004.7075,35119.3482
16,North Spring Bizhub,11 Yishun industrial Street 1 768089,768089,29117.7126,46682.9371
17,Ubi Techpark,10 Ubi Crescent 408564,408564,35004.9902,34285.1941
18,Eco-Tech @ Sunview,1 Sunview Road 627615,627615,12834.2743,33088.4326
19,Northstar @ Amk,7030 Ang Mo Kio Avenue 5 569880,569880,32682.0064,39989.3314
20,Apex @ Henderson,201 Henderson Road Singapore 159545,159545,26563.5643,29426.0824
21,Gemini @ Sims,2 Sims Close 387298,387298,32925.254,33123.6371
22,CT Hub 2,114 Lavender Street 338729,338729,31345.0086,32654.2654
23,Tagore 8,421 Tagore Industrial Avenue 787805,787805,27318.0519,40707.4044
24,Wcega Tower,21 Bukit Batok Crescent 658065,658065,19803.189,35460.5165
25,Woodlands Horizon,31 Woodlands close 737855,737855,24947.0269,46483.2503
26,Oxley BizHub 2,62 Ubi Road 1 408734,408734,34550.3781,34931.2668
27,Woodlands 11,11 Woodlands Close 737853,737853,24594.9604,46273.8344
28,One Commonwealth,1 COMMONWEALTH Drive 149603,149603,24172.0839,30873.3463
29,UB. One,81 Ubi Avenue 4 408830,408830,34504.8288,35082.7159
30,Pantech Business Hub,194 Pandan Loop 128383,128383,18963.1027,32526.3065
31,West Connect Building,10 Buroh Street 627564,627564,13480.9023,32767.9652
32,Northpoint Bizhub,2 Yishun Industrial Street 1 768159,768159,29077.5302,46439.0279
33,Primz Bizhub,21 Woodlands Close singapore 737854,737854,24821.9235,46303.1625
34,The Commerze @ Irving,1 Irving Place 369546,369546,33911.1658,35379.8552
35,Primax,22 New Industrial Road 536208,536208,33899.4834,36204.8006
36,Novelty BizCentre,18 Howard Road 369585,369585,33839.9597,35160.2054
37,Win5 @ Yishun,15 Yishun Industrial Street 1 768091,768091,29257.9134,46601.835
38,Midview Building,50 Bukit Batok Street 23 659578,659578,19516.6342,35718.7614
39,AZ @ Paya Lebar,140 Paya Lebar Road 409015,409015,34427.2072,34386.5888
40,Pioneer Junction,3 Soon Lee Street 627606,627606,12853.7934,35118.9682
41,Trivex,8 Burn Road 369977,369977,33806.3755,35340.007
42,Mapex,37 Jalan Pemimpin 577177,577177,28853.3654,36780.6808
43,T99,9 Tuas South Avenue 10 637014,637014,4601.8594,30008.2367
44,A'Posh BizHub,1 Yishun industrial Street 1 768160,768160,28976.2896,46556.703
45,Frontier,52 Ubi Avenue 3 408867,408867,34952.3222,34801.5146
46,Eldix,11 Mandai Estate 729908,729908,19813.8359,43381.7568
47,Paya Ubi Industrial Park,51 Ubi Avenue 1 408933,408933,35162.4736,34203.9888
48,Ark @ Gambas,7 Gambas Avenue 757087,757087,25709.9797,47381.1567
49,Westlink Two,71 Tuas View Place 637434,637434,5619.0667,31092.0485
50,Tai Seng Point,11 Irving Place 369551,369551,34008.2039,35395.6759
51,Zervex,8 Ubi Road 2 408538,408538,34914.3008,35147.8564
52,Ispace,7 Soon Lee Street 627608,627608,13167.6762,35123.4294
53,E-Centre @ Redhill,3791 Jalan Bukit Merah 159471,159471,25583.9341,29718.0994
54,Eunos Technolink,5 Kaki Bukit Road 1 415936,415936,35609.1787,35138.0287
55,8B @ Admiralty,8B Admiralty Street 757440,757440,25891.2941,49304.5041
56,Shine@Tuas South,11 Tuas South Link 1 636901,636901,5207.9138,28185.5483
57,Toh Guan Centre,21 Toh Guan Road East 608609,608609,19247.418,35537.0805
58,The Alexcier,237 Alexandra Road 159929,159929,25831.1738,30395.9898
